station,feature,rmse,changepoint_prior_scale,changepoint_range,seasonality_mode,mean_value
가로림연안1_연안,투명도[m],0.328111563,0.5,0.9,multiplicative,1.454475939
가로림연안1_연안,화학적산소요구량[mg/L],0.337636799,0.7,0.8,additive,1.619916639
가로림연안1_연안,염분[psu],1.154504701,0.3,0.9,multiplicative,31.67580846
가로림연안1_연안,클로로필-a[μg/L],0.507655783,0.7,0.8,multiplicative,1.722802917
가로림연안1_연안,총인[μg/L],0.271336654,0.3,0.9,multiplicative,34.84071319
가로림연안1_연안,수온[℃],0.914941285,0.7,0.9,additive,14.30640298
가로림연안1_연안,총질소[μg/L],0.415999007,0.5,0.9,multiplicative,287.5412587
가로림연안1_연안,용존산소[mg/L],0.474272469,0.7,0.8,multiplicative,8.902939116
가로림연안2_연안,투명도[m],0.324169323,0.7,0.8,multiplicative,1.335006901
가로림연안2_연안,화학적산소요구량[mg/L],0.420307469,0.3,0.9,multiplicative,1.539573128
가로림연안2_연안,염분[psu],1.465347579,0.3,0.8,multiplicative,31.51069288
가로림연안2_연안,클로로필-a[μg/L],1.007762282,0.7,0.9,additive,1.838198967
가로림연안2_연안,총인[μg/L],0.392318244,0.7,0.8,multiplicative,31.10733645
가로림연안2_연안,수온[℃],0.706685364,0.7,0.8,additive,13.45066547
가로림연안2_연안,총질소[μg/L],0.604632148,0.3,0.9,multiplicative,261.0848187
가로림연안2_연안,용존산소[mg/L],0.613299101,0.7,0.8,multiplicative,9.039099285
가로림연안3_연안,투명도[m],0.725277587,0.3,0.9,additive,2.503294867
가로림연안3_연안,화학적산소요구량[mg/L],0.370851535,0.7,0.9,additive,1.664450433
가로림연안3_연안,염분[psu],1.031257713,0.3,0.8,multiplicative,31.49377889
가로림연안3_연안,클로로필-a[μg/L],0.500049196,0.5,0.9,additive,1.634393292
가로림연안3_연안,총인[μg/L],0.226308359,0.7,0.9,multiplicative,39.10355753
가로림연안3_연안,수온[℃],0.714537364,0.3,0.9,additive,13.38279852
가로림연안3_연안,총질소[μg/L],0.472689628,0.3,0.9,multiplicative,292.3638029
가로림연안3_연안,용존산소[mg/L],0.544250181,0.5,0.8,multiplicative,9.074778576
가막만1_환경관리,투명도[m],0.899752347,0.3,0.9,additive,2.670695514
